,Team,Round of 16,Group,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,R2,QF,4th,3rd,2nd,1st,Past Group Stage,Qualifying Percentage,CODE
0,Uruguay,Y,A,1st,,,1st,4th,x,R1,QF,4th,R1,x,x,R2,R2,x,x,R1,x,4th,R2,3.0,0.0,1.0,0.0,0.0,0.0,4.0,50%,URY
1,Russia,Y,A,,,,,,QF,QF,4th,QF,x,x,R2,R2,R1,R1,x,R1,x,x,R1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13%,RUS
2,Saudi Arabia,N,A,,,,,,,,,,,x,x,x,x,R2,R1,R1,R1,x,x,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13%,SAU
3,Egypt,N,A,,R1,,,x,,,,,x,x,x,x,R1,x,x,x,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,EGY
4,Spain,Y,B,,QF,,4th,x,x,R1,R1,x,x,R1,R2,QF,R2,QF,R1,QF,R2,1st,R1,2.0,3.0,0.0,0.0,0.0,1.0,6.0,75%,ESP
5,Portugal,Y,B,,x,x,x,x,x,x,3rd,x,x,x,x,R2,x,x,x,R1,4th,R2,R1,2.0,0.0,1.0,0.0,0.0,0.0,3.0,38%,PRT
6,Morocco,N,B,,,,,,,x,,R1,x,x,x,R2,x,R1,R1,x,x,x,x,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13%,MAR
7,Iran,N,B,,,,,,,,,,x,R1,,,x,x,R1,x,R1,x,R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,IRN
8,France,Y,C,R1,R1,QF,x,R1,3rd,x,R1,x,x,R1,4th,3rd,x,x,1st,R1,2nd,R1,QF,0.0,1.0,0.0,1.0,1.0,1.0,4.0,50%,FRA
9,Denmark,Y,C,,,,,,x,,x,x,x,x,x,R2,x,x,QF,R2,x,R1,x,2.0,1.0,0.0,0.0,0.0,0.0,3.0,38%,DNK
10,Australia,N,C,,,,,,,,x,x,R1,x,x,x,x,x,x,x,R2,R1,R1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13%,AUS
11,Peru,N,C,R1,,,,,x,x,x,QF,x,R2,R1,x,x,x,x,x,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,PER
12,Argentina,Y,D,2nd,R1,,,,R1,R1,QF,x,R2,1st,R2,1st,2nd,R2,QF,R1,QF,QF,2nd,1.0,3.0,0.0,0.0,2.0,1.0,7.0,88%,ARG
13,Nigeria,Y,D,,,,,,,x,,x,x,x,x,x,x,R2,R2,R1,x,R1,R2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,38%,NGA
14,Croatia,N,D,,,,,,,,,,,,,,,x,3rd,R1,R1,x,R1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17%,HRV
15,Iceland,N,D,,,,,,x,,,,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,ISL
16,Brazil,Y,E,R1,R1,3rd,2nd,QF,1st,1st,R1,1st,4th,3rd,R2,QF,R2,1st,2nd,1st,QF,QF,4th,1.0,3.0,1.0,0.0,1.0,2.0,8.0,100%,BRA
17,Switzerland,Y,E,,QF,QF,R1,QF,x,R1,R1,x,x,x,x,x,x,R2,x,x,R2,R1,R2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,38%,CHE
18,Serbia,N,E,4th,x,x,R1,QF,QF,4th,x,x,R2,x,R1,x,QF,,R2,x,R1,R1,x,1.0,1.0,0.0,0.0,0.0,0.0,2.0,29%,SRB
19,Costa Rica,N,E,,,,,,x,x,x,x,x,x,x,x,R2,x,x,R1,R1,x,QF,1.0,1.0,0.0,0.0,0.0,0.0,2.0,25%,CRI
20,Germany,Y,F,x,3rd,R1,x,1st,4th,QF,2nd,3rd,1st,R2,2nd,2nd,1st,QF,QF,2nd,3rd,3rd,1st,0.0,2.0,0.0,2.0,2.0,2.0,8.0,100%,DEU
21,Mexico,Y,F,R1,x,,R1,R1,R1,R1,R1,QF,x,R1,x,QF,,R2,R2,R2,R2,R2,R2,6.0,1.0,0.0,0.0,0.0,0.0,7.0,100%,MEX
22,Sweden,N,F,,QF,4th,3rd,x,2nd,x,x,R1,R2,R1,x,x,R1,3rd,x,R2,R2,x,x,2.0,0.0,0.0,1.0,0.0,0.0,3.0,38%,SWE
23,South Korea,N,F,,,,,R1,,x,,x,x,x,x,R1,R1,R1,R1,4th,R1,R2,R1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,25%,
24,England,Y,G,,,,R1,QF,R1,QF,1st,QF,x,x,R2,QF,4th,x,R2,QF,QF,R2,R1,2.0,3.0,1.0,0.0,0.0,0.0,6.0,75%,
25,Belgium,Y,G,R1,R1,R1,,R1,x,x,x,R1,x,x,R2,4th,R2,R2,R1,R2,x,x,QF,3.0,1.0,1.0,0.0,0.0,0.0,5.0,63%,BEL
26,Panama,N,G,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,PAN
27,Tunisia,N,G,,,,,,,x,,x,x,R1,x,x,x,x,R1,R1,R1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,TUN
28,Colombia,Y,H,,,,,,x,R1,x,x,x,x,x,x,R2,R1,R1,x,x,x,QF,1.0,1.0,0.0,0.0,0.0,0.0,2.0,25%,COL
29,Japan,Y,H,,,,,,x,,x,,x,x,x,x,x,x,R1,R2,R1,R2,R1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,25%,JPN
30,Senegal,N,H,,,,,,,,,,x,x,x,x,,x,x,QF,x,x,x,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14%,SEN
31,Poland,N,H,,x,R1,,,x,x,x,x,3rd,R2,3rd,R2,x,x,x,R1,R1,x,x,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13%,POL
32,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG
33,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALB
34,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DZA
35,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM
36,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND
37,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGO
38,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIA
39,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATG
40,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARM
41,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW
42,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUT
43,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AZE
44,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHM
45,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHR
46,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BGD
47,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRB
48,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLR
49,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLZ
50,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEN
51,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMU
52,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BTN
53,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOL
54,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIH
55,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWA
56,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGB
57,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRN
58,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BGR
59,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFA
60,Burma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MMR
61,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDI
62,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPV
63,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHM
64,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMR
65,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN
66,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYM
67,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAF
68,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCD
69,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
70,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHN
71,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COM
72,"Congo, Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COD
73,"Congo, Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COG
74,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COK
75,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIV
76,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUB
77,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUW
78,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYP
79,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZE
80,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJI
81,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMA
82,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOM
83,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECU
84,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLV
85,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNQ
86,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERI
87,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EST
88,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETH
89,Falkland Islands (Islas Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLK
90,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRO
91,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJI
92,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
93,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYF
94,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAB
95,"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMB
96,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO
97,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA
98,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIB
99,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRC
100,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRL
101,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRD
102,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUM
103,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTM
104,Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGY
105,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNB
106,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIN
107,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUY
108,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTI
109,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HND
110,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HKG
111,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUN
112,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IND
113,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
114,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRQ
115,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRL
116,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMN
117,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISR
118,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITA
119,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAM
120,Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEY
121,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOR
122,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAZ
123,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEN
124,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIR
125,"Korea, North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRK
126,"Korea, South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOR
127,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSV
128,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KWT
129,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KGZ
130,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAO
131,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LVA
132,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBN
133,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSO
134,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBR
135,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBY
136,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIE
137,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTU
138,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUX
139,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAC
140,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MKD
141,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDG
142,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWI
143,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYS
144,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDV
145,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLI
146,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLT
147,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MHL
148,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRT
149,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUS
150,"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSM
151,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDA
152,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCO
153,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNG
154,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNE
155,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOZ
156,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM
157,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPL
158,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLD
159,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCL
160,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
161,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIC
162,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NER
163,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIU
164,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNP
165,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR
166,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMN
167,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAK
168,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLW
169,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
170,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRY
171,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHL
172,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRI
173,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QAT
174,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU
175,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RWA
176,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNA
177,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCA
178,Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAF
179,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPM
180,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCT
181,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
182,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMR
183,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STP
184,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYC
185,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLE
186,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SGP
187,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SXM
188,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVK
189,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVN
190,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLB
191,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOM
192,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZAF
193,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSD
194,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LKA
195,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDN
196,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUR
197,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWZ
198,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYR
199,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWN
200,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJK
201,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TZA
202,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THA
203,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLS
204,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGO
205,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TON
206,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTO
207,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR
208,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TKM
209,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUV
210,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGA
211,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UKR
212,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARE
213,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBR
214,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
215,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB
216,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VUT
217,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEN
218,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNM
219,Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGB
220,West Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WBG
221,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YEM
222,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZMB
223,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZWE